Fecha-Hora Descarga,Fecha cotización,Imagen,Estado,Empresa,Nemónico,Sector,Segmento,Moneda,Anterior,Fecha Anterior,Apertura,Última,Variación,Compra,Venta,Número Acciones,Número Operaciones,Monto Negocio
15-04-2018 16:58,29/04/2016,,,Buenaventura,BVN,MINERAS,RV3,US$,28/04/2016,9.26,9.80,10.09,0.003,,,"62,230.00",,"622,236.64"
15-04-2018 16:58,28/04/2016,,,Buenaventura,BVN,MINERAS,RV3,US$,27/04/2016,8.98,9.20,9.26,0.001,,,"66,371.00",,"616,489.31"
15-04-2018 16:58,27/04/2016,,,Buenaventura,BVN,MINERAS,RV3,US$,26/04/2016,8.82,9.00,8.98,-0.0,,,"33,790.00",,"305,052.57"
15-04-2018 16:58,26/04/2016,,,Buenaventura,BVN,MINERAS,RV3,US$,25/04/2016,8.45,8.47,8.82,0.003,,,"11,866.00",,"103,631.68"
15-04-2018 16:58,25/04/2016,,,Buenaventura,BVN,MINERAS,RV3,US$,22/04/2016,8.45,8.64,8.45,-0.002,,,"11,930.00",,"101,213.20"
15-04-2018 16:58,22/04/2016,,,Buenaventura,BVN,MINERAS,RV3,US$,21/04/2016,8.61,8.60,8.45,-0.002,,,"34,343.00",,"295,729.25"
15-04-2018 16:58,21/04/2016,,,Buenaventura,BVN,MINERAS,RV3,US$,20/04/2016,8.15,8.60,8.61,0.0,,,"10,090.00",,"86,782.55"
15-04-2018 16:58,20/04/2016,,,Buenaventura,BVN,MINERAS,RV3,US$,19/04/2016,8.20,8.31,8.15,-0.002,,,"61,367.00",,"521,463.30"
15-04-2018 16:58,19/04/2016,,,Buenaventura,BVN,MINERAS,RV3,US$,18/04/2016,8.00,8.50,8.20,-0.003,,,"40,659.00",,"335,818.50"
15-04-2018 16:58,18/04/2016,,,Buenaventura,BVN,MINERAS,RV3,US$,15/04/2016,8.10,8.25,8.00,-0.003,,,"14,294.00",,"116,559.80"
15-04-2018 16:58,15/04/2016,,,Buenaventura,BVN,MINERAS,RV3,US$,14/04/2016,7.99,7.98,8.10,0.001,,,"2,109.00",,"16,885.95"
15-04-2018 16:58,14/04/2016,,,Buenaventura,BVN,MINERAS,RV3,US$,13/04/2016,8.50,8.20,7.99,-0.002,,,"58,229.00",,"464,344.08"
15-04-2018 16:58,13/04/2016,,,Buenaventura,BVN,MINERAS,RV3,US$,12/04/2016,8.55,8.40,8.50,0.001,,,"6,014.00",,"50,881.20"
