Fecha-Hora Descarga,Fecha cotización,Imagen,Estado,Empresa,Nemónico,Sector,Segmento,Moneda,Anterior,Fecha Anterior,Apertura,Última,Variación,Compra,Venta,Número Acciones,Número Operaciones,Monto Negocio
15-04-2018 16:17,20/12/2012,,,SIDERPERU,SIDERC1,INDUSTRIALES,RV1,S/,18/12/2012,0.400, , ,,,, ,, 
15-04-2018 16:17,19/12/2012,,,SIDERPERU,SIDERC1,INDUSTRIALES,RV1,S/,18/12/2012,0.400, , ,,,,"4,000.00",,"1,600.00"
15-04-2018 16:17,18/12/2012,,,SIDERPERU,SIDERC1,INDUSTRIALES,RV1,S/,17/12/2012,0.400,0.400,0.400,0.0,,,"82,500.00",,"33,000.00"
15-04-2018 16:17,17/12/2012,,,SIDERPERU,SIDERC1,INDUSTRIALES,RV1,S/,14/12/2012,0.400,0.390,0.400,0.01,,,"27,400.00",,"10,786.00"
15-04-2018 16:17,14/12/2012,,,SIDERPERU,SIDERC1,INDUSTRIALES,RV1,S/,11/12/2012,0.400,0.400,0.400,0.0,,,"286,340.00",,"114,536.00"
15-04-2018 16:17,13/12/2012,,,SIDERPERU,SIDERC1,INDUSTRIALES,RV1,S/,11/12/2012,0.400, , ,,,,"3,210.00",,"1,284.00"
15-04-2018 16:17,12/12/2012,,,SIDERPERU,SIDERC1,INDUSTRIALES,RV1,S/,11/12/2012,0.400, , ,,,, ,, 
15-04-2018 16:17,11/12/2012,,,SIDERPERU,SIDERC1,INDUSTRIALES,RV1,S/,10/12/2012,0.400,0.400,0.400,0.0,,,"167,316.00",,"66,903.24"
15-04-2018 16:17,10/12/2012,,,SIDERPERU,SIDERC1,INDUSTRIALES,RV1,S/,07/12/2012,0.400,0.400,0.400,0.0,,,"46,000.00",,"18,400.00"
15-04-2018 16:17,07/12/2012,,,SIDERPERU,SIDERC1,INDUSTRIALES,RV1,S/,06/12/2012,0.410,0.400,0.400,0.0,,,"100,000.00",,"40,000.00"
15-04-2018 16:17,06/12/2012,,,SIDERPERU,SIDERC1,INDUSTRIALES,RV1,S/,05/12/2012,0.410,0.400,0.410,0.01,,,"373,500.00",,"150,935.00"
15-04-2018 16:17,05/12/2012,,,SIDERPERU,SIDERC1,INDUSTRIALES,RV1,S/,04/12/2012,0.410,0.400,0.410,0.01,,,"272,698.00",,"110,758.82"
15-04-2018 16:17,04/12/2012,,,SIDERPERU,SIDERC1,INDUSTRIALES,RV1,S/,03/12/2012,0.410,0.420,0.410,-0.01,,,"173,400.00",,"72,404.00"
15-04-2018 16:17,03/12/2012,,,SIDERPERU,SIDERC1,INDUSTRIALES,RV1,S/,30/11/2012,0.390,0.410,0.410,0.0,,,"549,894.00",,"229,976.54"
15-04-2018 16:17,30/11/2012,,,SIDERPERU,SIDERC1,INDUSTRIALES,RV1,S/,29/11/2012,0.420,0.420,0.390,-0.03,,,"12,985,467.00",,"5,067,475.33"
15-04-2018 16:17,29/11/2012,,,SIDERPERU,SIDERC1,INDUSTRIALES,RV1,S/,28/11/2012,0.430,0.430,0.420,-0.01,,,"2,379,051.00",,"1,017,076.47"
